title,link,source,ai_summary,time
'Everything came to a head and we needed to survive - but now the future looks very rosy',https://www.racingpost.com/news/features/interviews/everything-came-to-a-head-and-we-needed-to-survive-but-now-the-future-looks-very-rosy-aRmUh5D8UNqy/,racing_post,"摘要失敗: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",
'I've made a million mistakes' - Frankie Dettori recalls the highs and lows of his extraordinary career in a straight-talking interview,https://www.racingpost.com/news/features/the-big-read/ive-made-a-million-mistakes-frankie-dettori-recalls-the-highs-and-lows-of-his-extraordinary-career-in-a-straight-talking-interview-ayv1j6z0Ygat/,racing_post,"摘要失敗: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",
"'He’s got it, he’s got the lot. He came to me so ready-made - I can’t fault him'",https://www.racingpost.com/news/quotes-of-the-week/hes-got-it-hes-got-the-lot.-he-came-to-me-so-ready-made-i-cant-fault-him-agFom2m7MAt0,racing_post,"摘要失敗: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",
Heavy-ground horses: three who will relish conditions at Navan on Sunday - including a Cheltenham Festival winner,https://www.racingpost.com/news/raceday-intel/heavy-ground-horses-three-who-will-relish-conditions-at-navan-on-sunday-including-a-cheltenham-festival-winner-aJfNg9A71xEe/,racing_post,"摘要失敗: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",
Arkle favourite looks rock-solid and I'll be surprised if Kopek Des Bordes beats him - this 16-1 British hope rates the biggest danger,https://www.racingpost.com/news/features/regulars/arkle-favourite-looks-rock-solid-and-ill-be-surprised-if-kopek-des-bordes-beats-him-this-16-1-british-hope-rates-the-biggest-danger-a0Z4A7v8PkAC/,racing_post,"摘要失敗: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",
Kia Joorabchian or ITV Racing? Surely there'd be only one winner in the fight for a restless Frankie's attentions,https://www.racingpost.com/news/opinion/comment/kia-joorabchian-or-itv-racing-surely-thered-be-only-one-winner-in-the-fight-for-a-restless-frankies-attentions-aRY1l1G6TtVR/,racing_post,"摘要失敗: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",
'Where would he be in the betting?' - Nicky Henderson playfully asks a Champion Hurdle question after Lulamba's dominant display,https://www.racingpost.com/news/reports/where-would-he-be-in-the-betting-nicky-henderson-playfully-asks-a-champion-hurdle-question-after-lulambas-dominant-display-auuws8E6i6WM/,racing_post,"摘要失敗: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",
IHRB insists Redwood Queen investigation was 'thorough' despite it declining to avail of BHA assistance,https://www.racingpost.com/news/ireland/ihrb-insists-redwood-queen-investigation-was-thorough-despite-it-declining-to-avail-of-bha-assistance-aIz3C4M2jnlr/,racing_post,"摘要失敗: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",
'He has got everything he needs to win one' - Dan Skelton has his sights set on festival glory,https://www.racingpost.com/news/festivals/cheltenham-festival/he-has-got-everything-he-needs-to-win-one-dan-skelton-has-his-sights-set-on-champion-hurdle-glory-with-the-new-lion-ardEk8f3KZMD/,racing_post,"摘要失敗: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",
Tuesday's card at Ffos Las abandoned after heavy rain leaves track waterlogged,https://www.racingpost.com/news/britain/tuesdays-card-at-ffos-las-abandoned-after-heavy-rain-leaves-track-waterlogged-aceOa2b7uueI/,racing_post,"摘要失敗: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",
Cheltenham Stable Tours return - and now is the perfect time to join Racing Post+ with 35% off for A WHOLE YEAR,https://www.racingpost.com/news/cheltenham-stable-tours-return-and-now-is-the-perfect-time-to-join-racing-post-with-35-off-for-a-whole-year-a1tp92H7rjPM/,racing_post,"摘要失敗: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",
Game Spirit Chase: 'That should stand us in good stead for the Arkle' - Lulamba passes test as he warms up for festival,https://www.racingpost.com/news/reports/arkle-favourite-lulamba-makes-it-three-from-three-over-fences-with-success-at-4-11-anVUg7Y5KJkb/,racing_post,"摘要失敗: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",
Newbury: 'On testing ground you'd want to have him in the Champion Hurdle' - all-the-way victory puts Tutti Quanti in festival contention,https://www.racingpost.com/news/reports/he-could-be-a-serious-british-contender-for-the-supreme-sober-glory-cut-to-16-1-for-festival-opener-after-impressing-harry-cobden-a5hKy6I51TRi/,racing_post,"摘要失敗: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",
Tutti Quanti may prove a touch below Champion Hurdle class - but his rout paid huge compliments to this 20-1 shot for the Supreme,https://www.racingpost.com/news/betting-insight/tutti-quanti-may-prove-a-touch-below-champion-hurdle-class-but-his-rout-paid-huge-compliments-to-this-20-1-shot-for-the-supreme-a1JuR6q2dw1L/,racing_post,"摘要失敗: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",
Denman Chase: 'Job done and all systems go for the Gold Cup' after Haiti Couleurs puts rivals to the sword at Newbury,https://www.racingpost.com/news/reports/cheltenham-gold-cup-hope-haiti-couleurs-puts-denman-chase-rivals-to-the-sword-under-sean-bowen-aRe9z5J0sVvg/,racing_post,"摘要失敗: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",
2.50 Navan: Gordon Elliott saddles three with strong claims in Boyne Hurdle against Grade 1 winner Hiddenvalley Lake,https://www.racingpost.com/news/raceday-intel/gordon-elliott-saddles-three-with-strong-claims-in-boyne-hurdle-against-grade-1-winner-hiddenvalley-lake-aAhnM5c76GbG/,racing_post,"摘要失敗: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",
